rowUniqueId,frontOfficeTradeId,productType,sapAccountId,country,countryCode,pii,gdpr,geo_restricted,dataPlacement
3acdd3e9-39e4-495c-b168-be2d5c1cf5a2,66165-5,66165-5,836005,United States,US,False,False,False,cloud
41a64420-92e9-4ede-970a-056e271154a8,71560-7,71560-7,157726,Japan,JP,False,False,False,cloud
411572cb-7246-4b62-91b8-c8d170a8f786,46852-1,46852-1,49606,Sweden,SE,True,True,False,onPrem
195ef2a5-7274-4ac9-b67e-469b54f961b5,95928-7,95928-7,707934,Netherlands,NL,False,True,False,onPrem
1e9604a0-a132-4e9a-b2f2-3cb258f6111f,64289-4,64289-4,769730,Australia,AU,True,False,False,onPrem
761b29bd-c709-421b-9c08-a8a204b876d1,56680-2,56680-2,538372,Japan,JP,False,False,False,cloud
df7a9cf4-e102-4439-b992-e2c46495bacb,71726-9,71726-9,870426,Jersey,JEY,False,False,False,cloud
5b90f43e-9ca2-40c7-af99-0c399089750e,92055-2,92055-2,323539,Brazil,BR,False,False,True,onPrem
cf35ccfd-66a7-4b08-86dd-cfe895a229bb,79982-5,79982-5,605405,Japan,JP,False,False,False,cloud
ac0ecbfd-c290-4d49-b47a-bd2de7ed6a01,36895-1,36895-1,869128,Guernsey,GGY,False,False,False,cloud
888f199a-643f-4c4e-9939-dec6e0f775cb,53653-1,53653-1,568756,Monaco,MC,False,False,False,cloud
9a47b95e-cbfc-4bc5-ae48-85b66e5de010,91683-1,91683-1,770503,Canada,CA,False,False,False,cloud
eed05018-9d2e-4486-87be-6091283503df,73688-5,73688-5,120631,Guernsey,GGY,True,False,False,onPrem
2d908a06-709e-4221-932e-993b14721ad1,29934-10,29934-10,590440,Hong Kong,HKG,False,False,False,cloud
291ccb48-2de9-4256-88e9-d3fda0764266,64649-1,64649-1,362925,Portugal,PT,False,True,False,onPrem
3f885cc5-0b7b-4877-9ac1-5de6b4f0b305,82698-7,82698-7,448015,Israel,IL,False,False,False,cloud
437cf510-eddc-4b28-8ada-c04e7fdc33e2,63942-5,63942-5,826364,United Arab Emirates,AE,False,False,True,onPrem
aa1a49d9-2fdc-4b16-ab29-0ab2173a2832,61745-0,61745-0,125810,Brazil,BR,False,False,True,onPrem
b0797f6e-4cf2-4197-b031-91b1a2f2ff31,30876-4,30876-4,540126,Czech Republic,CZ,False,True,False,onPrem
3fde16f1-06ff-44c8-b43f-70f020069e9d,55890-7,55890-7,671004,Sweden,SE,False,True,False,onPrem
5c1274f9-fbcb-4b9f-899d-8c4c3268b5fe,9423-0,9423-0,922166,Japan,JP,False,False,False,cloud
80f7d8a4-5f2c-4dfe-bf78-2e523f839004,48267-0,48267-0,274490,United Kingdom,GB,False,False,False,cloud
e6821ad2-157f-4975-a039-f3cd1bd62c36,48540-0,48540-0,568084,Lithuania,LT,False,True,False,onPrem
d9691c05-6f01-4263-bdb1-783f46f54b6c,93951-0,93951-0,188405,Canada,CA,False,False,False,cloud
eaaba624-1133-4a1a-9540-3c69576ac26f,96339-8,96339-8,866911,Hong Kong,HKG,False,False,False,cloud
d5252df3-2bb4-49ff-8541-5978218f0f8b,47155-2,47155-2,562604,Ireland,IE,True,True,False,onPrem
7f4012ef-1056-49c6-92f1-9a04e09ff00b,27050-6,27050-6,868507,United States,US,False,False,False,cloud
45493fe3-7446-41df-9718-77b8f2681ad9,23207-6,23207-6,27718,United Arab Emirates,AE,False,False,True,onPrem
5d11456c-b062-4c38-ae19-ffac3f829cbc,3051-9,3051-9,718366,Jersey,JEY,False,False,False,cloud
04f89258-39e6-4f9e-a13c-0019dbefb2e9,73575-9,73575-9,227909,Netherlands,NL,False,True,False,onPrem
0cc7d062-f183-4998-a5a9-e82c715e5a6c,27844-1,27844-1,247995,Switzerland,CH,False,True,False,onPrem
6211290e-f01c-4b52-9978-3f5243dacec0,27194-4,27194-4,43214,Israel,IL,True,False,False,onPrem
5d2cf37c-5385-4ecb-8308-fff55d043090,30585-4,30585-4,910410,Portugal,PT,False,True,False,onPrem
419672e8-9e5f-4bfb-af2a-a4761a6baf0f,11622-9,11622-9,989242,Switzerland,CH,False,True,False,onPrem
19ad72d8-405f-418a-914c-40c52ae68f61,91361-4,91361-4,83762,Lithuania,LT,False,True,False,onPrem
5fb78f63-545d-4d56-87d1-fe6476d3782f,7086-5,7086-5,717435,Portugal,PT,False,True,False,onPrem
31b2acb5-87fd-4221-9ac1-d2e833fb19dc,80686-0,80686-0,482076,United Arab Emirates,AE,False,False,True,onPrem
4e0e9a90-46a4-4665-aa6c-76287491f692,93420-3,93420-3,127664,Singapore,SG,True,False,False,onPrem
32bcfc9f-97b5-4f98-b063-a423ac65ea50,50043-5,50043-5,654412,Canada,CA,True,False,False,onPrem
7c6ba115-aa2c-42d9-829b-9d3422dae48e,61003-8,61003-8,325820,Lithuania,LT,True,True,False,onPrem
674343a7-8c77-4ca8-bcce-d3837df14564,49730-2,49730-2,916200,Canada,CA,False,False,False,cloud
1ce4e57b-7a35-47a4-bc50-499219a4dca1,62153-0,62153-0,203136,Luxembourg,LU,False,True,False,onPrem
8fc1da9d-5a23-4e3f-a33f-635c2b1583d7,67725-8,67725-8,161243,France,FR,True,True,False,onPrem
cb3971ba-9b9e-4731-b13f-03d5bf6fccae,45528-0,45528-0,81099,Australia,AU,False,False,False,cloud
134a2ef8-6ba3-4bcc-b629-e8df92c0e2fb,77428-6,77428-6,589500,Luxembourg,LU,False,True,False,onPrem
323a8242-103f-45cb-b139-36d43a5fd64f,47533-8,47533-8,738849,Luxembourg,LU,False,True,False,onPrem
3f2f361c-61c8-4a0c-ba3e-181031827b22,57008-3,57008-3,524270,Netherlands,NL,True,True,False,onPrem
aa288d94-3fef-461c-9aa4-e3e3df293175,94806-5,94806-5,175112,Australia,AU,False,False,False,cloud
1768c1c2-b6b2-49a5-8683-b284d0ca29b4,58913-7,58913-7,644387,France,FR,True,True,False,onPrem
7f0795fd-2c0a-4c85-9e11-b9c2df22d393,51830-0,51830-0,679840,Luxembourg,LU,False,True,False,onPrem
ee510948-f31a-45fc-8141-fb529908ec58,35116-7,35116-7,176508,Canada,CA,True,False,False,onPrem
955d111b-8034-4b90-b7fb-8da955e3175b,71728-8,71728-8,110803,Luxembourg,LU,False,True,False,onPrem
c32b1085-5931-426c-863d-c747d7b94261,45725-0,45725-0,742758,Lithuania,LT,True,True,False,onPrem
93f2bf01-7396-4193-8790-c6541928f579,9423-8,9423-8,532788,Spain,ES,False,True,False,onPrem
2596c4f1-a7bb-4b39-9339-68fbbf1c7b8c,86219-9,86219-9,885259,United States,US,False,False,False,cloud
875cd6b6-d167-4cac-975c-11be37832043,33931-7,33931-7,189186,Guernsey,GGY,False,False,False,cloud
9e66dc28-524b-4fa3-ac75-67eaec746450,87508-7,87508-7,623603,Mexico,MX,False,False,False,cloud
c55685d4-2095-4163-b9f9-562e2fbab4f6,28520-4,28520-4,165868,Monaco,MC,False,False,False,cloud
dfb20383-2865-4697-9bf3-db53ec6737f2,63289-0,63289-0,773926,Israel,IL,True,False,False,onPrem
817bc462-1e7d-4caf-92fb-7dd8a8cb8b4d,62956-6,62956-6,331365,Ireland,IE,False,True,False,onPrem
90333bad-9008-401d-8cb7-78a0770bee28,64509-0,64509-0,254398,United Kingdom,GB,False,False,False,cloud
02889240-5cf9-492b-94c9-348b9193e441,76821-10,76821-10,210631,Czech Republic,CZ,False,True,False,onPrem
396e6bcb-19b3-4314-bcb9-e303efe64e6d,18203-9,18203-9,49401,Israel,IL,False,False,False,cloud
f19f9608-c586-4f84-b42e-8573283fd974,98317-3,98317-3,109044,Australia,AU,False,False,False,cloud
